direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"Priv. Inglaterra 4800,  Zapopan, Jalisco",2.66,1.85,6.26
"Privada Parota 100 14,  Fraccionamiento Valle Imperial, Zapopan",2.87,2.57,7.67
"Santo Tomas de Aquino 5610,  Arcos de Guadalupe, Zapopan",0.58,2.59,8.66
"Calle Formosa 630,  Fraccionamiento Valle Imperial, Zapopan",2.42,1.99,7.17
"anahuac 290,  Ciudad Del Sol, Zapopan",1.21,1.12,9.51
"Av de la Primavera 1818,  Bosques Vallarta, Zapopan",2.17,2.46,9.52
"Altvista poniente 450,  Altavista Residencial, Zapopan",2.63,1.84,4.65
"Subolectora 2 2919,  El Fortin, Zapopan",2.15,2.13,14.21
"Av. Rio Blanco 1676,  Fraccionamiento Los Almendros, Zapopan",2.52,1.71,4.22
"AURELIO ORTEGA 460,  Seattle, Zapopan",0.27,2.24,1.78
"Av Altavista 80,  Altavista Residencial, Zapopan",2.58,1.75,4.5
"Aldama 111,  Atemajac Del Valle, Zapopan",1.32,0.41,4.19
"Av. Paseo del Norte 3322,  Bosques Vallarta, Zapopan",2.57,1.94,9.09
"Camino Arenero 1051,  El Bajio, Zapopan",1.57,2.51,9.21
"Santo Tomas de Aquino al 5100,  La Estancia, Zapopan",1.67,2.04,8.03
"Naciones Unidas #6655,  Virreyes Residencial, Zapopan",2.41,2.04,6.49
"Juan Jose Arreola 179, Ayamonte, Bajio II , Ayamonte, Zapopan,  Ayamonte, Zapopan",2.88,0.51,10.39
"Paseo del norte 3322,  Bosques Vallarta, Zapopan",2.33,0.45,11.36
"Av. Monarquia Britanica 122,  Zapopan, Jalisco",1.15,1.96,2.61
"Blvd Jardin Real 245,  Fraccionamiento Jardin Real, Zapopan",2.4,0.33,5.14
"PALMIRA BV VALLE IMPERIAL 1236,  Copalita, Zapopan",2.16,1.81,7.15
"Av. del Bronce 375,  El Fortin, Zapopan",2.09,1.79,13.87
"COTO IMPERIO MAYA CASA 70,  Fraccionamiento Valle Imperial, Zapopan",1.61,1.27,7.25
"Av. la Cima 296,  12 de Diciembre, Zapopan",1.19,1.49,3.01
"Calle pegaso 5859,  Paseos del Sol, Zapopan",0.41,2.7,12.36
"Prolongacion Belenes 1813,  Jardines Del Vergel, Zapopan",0.92,1.22,2.92
"Av. Paseo del Nte. 3322, Parques vallarta, 45222 Zapopan, Jal.,  Fraccionamiento Solares, Zapopan",2.57,1.94,9.09
"Abetos 392,  Los Pinos, Zapopan",1.62,0.72,5.94
"Avenida Paseo de la Cantera 702,  Fraccionamiento Valle Imperial, Zapopan",0.14,0.06,6.92
"Paseo del Rocio #4089,  Lomas Altas, Zapopan",1.1,1.18,5.78
"Avenida Paseo del Bosque  100,  Madeiras, Zapopan",2.15,2.85,14.64
"Circunvalacion Norte 13,  Las Fuentes, Zapopan",0.36,2.7,12.37
"Federick Chopin 5545,  La Estancia, Zapopan",0.8,2.71,8.1
"Av. Del bosque Real #1507,  Fraccionamiento Valle Imperial, Zapopan",2.16,1.88,7.85
"Tonatiuh 223,  Ciudad Del Sol, Zapopan",0.81,1.72,8.23
"Volcan Tancittaro # 2198,  El Colli Urbano, Zapopan",0.62,1.59,10.82
"Parque de la Primavera 209 int 257,  Fraccionamiento Residencial Parques de Tesistan , Zapopan",2.22,1.43,11.11
"Paseo de las Ceibas 168. Col. Pinar de la Venta. Zapopan Jal.,  Fraccionamiento Pinar de La Venta, Zapopan",0.78,2.67,13.86
"A LAS CUMBRES 310,  Fraccionamiento Prados Vallarta, Zapopan",1.4,2.44,9.8
"Campo Duque 582,  Fraccionamiento Campo Real, Zapopan",2.38,2.21,8.71
"Tezozomoc 292,  Ciudad Del Sol, Zapopan",0.71,1.23,8.87
"Sebastian Bach 5512,  La Estancia, Zapopan",0.92,0.83,7.73
"Francisco Montes de Oca	3630,  El Fortin, Zapopan",2.26,2.62,14.57
"Granate 2499 Int C7,  Fraccionamiento Residencial Victoria, Zapopan",1.63,2,9.67
"Avenida Paseo del Anochecer 993 Solares Residencial  Zapopan Jalisco,  Fraccionamiento Solares, Zapopan",1.66,1.97,8.67
"CALLE TARRAGONA 198,  Fraccionamiento Real de Valdepenas, Zapopan",1.18,2.06,3.13
"Jardines de Tulum 42, 106, Fracc. Valle Imperial, Coto del Imperio Maya,  Fraccionamiento Valle Imperial, Zapopan",2.42,1.99,7.17
"Calle Palmira 1236 Valle Imperial Zapopan Jalisco,  Fraccionamiento Valle Imperial, Zapopan",1.84,1.6,8.04
"Privada Laurel 3915,  Nuevo Mexico, Zapopan",2.85,1.53,6.59
"Av Paseo de la Cantera 406 Valle Imperial Zapopan Jalisco,  Fraccionamiento Valle Imperial, Zapopan",0.51,0.38,6.8
"Aurelio Ortega 460,  Seattle, Zapopan",0.27,2.24,1.78
"P.o Solares 999, Solares Residencial, 45019 Zapopan, Jal.,  Fraccionamiento Solares, Zapopan",2.55,1.16,8.03
"Paseo San Raymundo 427,  Valle Real, Zapopan",2.19,0.58,5.1
"Avenida De La Calma 5984,  La Calma, Zapopan",0.54,1.19,10.76
"Vigilantes 90C,  El Centinela, Zapopan",2.48,0.81,3.72
"5 de Mayo, A 5 minutos de Colomos Providencia,  Santa Fe, Zapopan",0.19,2.48,2.31
"Av. de la Pradera 238,  Campestre los Pinos, Zapopan",2.11,0.11,16.1
"Ambrosio Ulloa #90,  Seattle, Zapopan",0.27,2.35,1.44
"Av. Acueducto 5151,  Puerta de Hierro, Zapopan",0.77,0.37,3
"Honorato Balzac 215,  Vigusa, Zapopan",2.58,2.08,6.19
"Bosques de Chapultepec 294,  Las Canadas, Zapopan",0.49,1.32,6.75
"Paseo de los Virreyes 871 Coto 10, Casa 20a,  Parque Virreyes Residencial, Zapopan",2.93,0.48,6.5
"Av Parque Virreyes 625,  Virreyes Residencial, Zapopan",1.67,0.65,6.38
"Camino a Santa Ana Tepetitlan 1500,  Fraccionamiento Bugambilias, Zapopan",1.19,2.82,14
"Alamo 990,  La Primavera, Zapopan",2.66,0.57,18.65
"Via gotas de Lluvia Oriente L23,  La Venta del Astillero, Zapopan",1.26,2.11,13.35
"Av. Arco Pertinax #1606,  Fraccionamiento La Cima, Zapopan",0.98,1.24,2.76
"Avenida Paseo Natura 5058,  Natura Bosque Residencial, Zapopan",1.21,0.85,15.7
"paseo del torreon #1824, Colinas de San Javier, Zapopan,  Colinas de San Javier, Zapopan",0.64,1.92,3.35
"60 Avenida Del Bosque,  Ayamonte, Zapopan",2.54,2.7,10.3
"PASEO SAN ARTURO SUR 2749,  Valle Real, Zapopan",0.55,0.76,6.47
"Palmira 1236,  Fraccionamiento Valle Imperial, Zapopan",2.16,1.81,7.15
"Tezozomoc 356,  Jardines Del Sol, Zapopan",0.46,0.91,8.97
"Avenida Paseo del Bosque 100,  Madeiras, Zapopan",2.15,2.85,14.64
"Avenida del Valle 1785,  Jardines del Valle, Zapopan",2.13,2.83,4.33
"Jarales 128, la cima Zapopan,  Fraccionamiento La Cima, Zapopan",1.65,2,3.52
"Calzada Norte 19,  Ciudad Granja, Zapopan",1.5,1.14,8.08
"PASEO SAN GUILLERMO 432,  Valle Real, Zapopan",2.88,1.5,5.81
"Blvd Jardin Real Ote 820,  Fraccionamiento Jardin Real, Zapopan",2.46,0.89,4.99
"Acueducto 1100,  Girasoles Elite, Zapopan",1.68,2.51,3.97
"Carretera Nogales # 9005,  Fraccionamiento Diana Nature Residencial, Zapopan",0.35,2.12,9.33
"Av. de las artes 60, Ayamonte, Bajio II,  Puerta de Hierro, Zapopan",2.52,2.66,10.3
"Tepeyac 407,  El Batan, Zapopan",1.68,0.12,4.47
"Sendero de los Encinos 45,  Puerta de Hierro, Zapopan",1.75,0.88,4.11
"Paseo de Loma Larga 3888,  Colinas de San Javier, Zapopan",1.36,1.65,4.37
"Rio Blanco 1900,  Jardines Del Vergel, Zapopan",2.63,1.82,4.4
"Paseo Solares 1633,  Fraccionamiento Solares, Zapopan",2.17,1.56,8.36
"Paseo de Loma Larga 3775,  Colinas de San Javier, Zapopan",1.43,1.68,4.33
"AV ACUEDUCTO 5555,  Puerta de Hierro, Zapopan",0.65,1.01,3.01
"Paseo de la Canada 32,  Fraccionamiento Bugambilias, Zapopan",0.15,1.94,14.62
"REMANSO DE LOS CANGUROS 3125,  Ciudad Bugambilia, Zapopan",1.16,2.35,14.98
"Naciones Unidas 6754,  Virreyes Residencial, Zapopan",2.76,0.15,6.83
"Av. Juan Palomar y Arias 1300,  El Alcazar, Zapopan",1.14,2.18,5.52
"valle de ameca 3211,  Parque Real, Zapopan",0.06,1.01,5.72
"Coto 23, EGIPCIO,  Fraccionamiento Valle Imperial, Zapopan",2.42,1.99,7.17
