direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"ramon corona 2515,  Fraccionamiento Solares, Zapopan",1.77,2.2,9.03
"C. de Zacoalco 1787,  Jardines del Valle, Zapopan",2.58,0.4,4.71
"Av. Bosques de San Isidro 105,  Las Canadas, Zapopan",1.77,2.94,5.75
"Caracol 2740,  Fraccionamiento Residencial Victoria, Zapopan",1.55,2.51,9.41
"ARGENTA 238,  San Isidro, Zapopan",0.62,2.83,0.95
"Boulevard Valle Imperial 3A -Coto Bizantino,  Fraccionamiento Valle Imperial, Zapopan",2.87,2.57,7.67
"Av. Valle de los Imperios 1501,  Sendas Residencial, Zapopan",0.4,2.93,6.57
"Chapultepec 294,  Las Canadas, Zapopan",1.92,1.12,5.91
"Avenida de la Cantera  765  , Valle Imperial , 45134 Zapopan, Jalisco, Mexico,  Fraccionamiento Valle Imperial, Zapopan",1.79,1.44,7.25
"Calle Alberta 2166,  Condominio Atlas Colomos, Zapopan",0.39,2.46,2.54
"Bugambilias 2da seccion,  Fraccionamiento Bugambilias, Zapopan",0.74,2.9,15.33
"Sendero de los laureles 70, puerta de hierro,  Puerta de Hierro, Zapopan",1.34,0.42,3.66
"MH3M+4WH Zapopan, Jalisco, Mexico,  Jardines Del Sol, Zapopan",0.46,0.67,9.11
"PASEO SAN ARTURO  2451,  Valle Real, Zapopan",0.47,1.46,6.05
"Natura Residencial - Paseo de la Natura 28 Coto Firenze,  Natura Bosque Residencial, Zapopan",1.33,0.57,15.48
"Paseo del puma 3729,  Fraccionamiento Bugambilias, Zapopan",0.9,2.57,15.27
"JG8Q+72X Zapopan, Jalisco, Mexico,  Fraccionamiento Bugambilias, Zapopan",0.75,2.24,14.94
"Calle Anastasio Bustamante 1234 14,  Francisco Sarabia, Zapopan",1.06,2.46,14.26
"Cto. Del Bosque 588,  Bosques Vallarta, Zapopan",2.87,1.77,8.98
"Paseo del Norte 3322 int 65, Bosques Vallarta,  Bosques Vallarta, Zapopan",2.33,0.45,11.36
"General Ignacio L pesqueira 429,  Constitucion, Zapopan",0.84,1.77,2.66
"Blvd. Valle Imperial 2033 - 21, Valle de la Alianza,  Fraccionamiento Valle Imperial, Zapopan",2.74,2.43,7.63
"Jardines Asturias 311,  Nuevo Mexico, Zapopan",1.71,1.37,7.33
"Acanthia 187,  Fraccionamiento Solares, Zapopan",2.21,0.67,6.96
"BOSQUE DE CHAPULTEPEC 96,  Las Canadas, Zapopan",1.54,2.74,5.49
"Playa del Tesoro 5562, La Primavera, Zapopan, Jal.,  El Colli Urbano, Zapopan",2.53,1.11,10.07
"Calzada Central 1188,  Ciudad Granja, Zapopan",1.17,1.78,8.65
"Circuito Marino Norte 186,  Fraccionamiento La Cima, Zapopan",1.12,1.47,2.98
"VALLE DE LA PLATA 2589,  Jardines del Valle, Zapopan",2.77,0.43,4.83
"Van Gogh 5273,  Eucalipto Vallarta, Zapopan",1.53,2.91,7.17
"C. Agustin Lara 54, La Estancia, Zapopan, Jal.,  La Estancia, Zapopan",0.33,2.85,8.55
"PGPF+M2, Hacienda San Acacio, 45019 La Mojonera, Jal.,  La Mojonera, Zapopan",0.88,2.77,9.3
"paseo lomas altas 3800,  Lomas del Valle, Zapopan",1.81,2.52,4.71
"Av. Ignacio L. Vallarta 11322,  Bosques Vallarta, Zapopan",2.58,1.49,8.02
"Paseo Abie 340 102,  Fraccionamiento Valle Imperial, Zapopan",0.4,0.41,6.64
"Jardines del Palacio Real 1948,  Fraccionamiento Valle Imperial, Zapopan",2.74,2.43,7.63
"Av. Sendero De Los Robles 4271, Fracc. Altaterra, Zapopan, Jal.,  Altaterra, Zapopan",2.89,2.52,6.53
"paseo del iris 55,  Fraccionamiento Bugambilias, Zapopan",2.17,1.4,15.51
"Av. Palma Real #59, San Juan de Ocotan, Zapopan Jalisco,  San Juan de Ocotan, Zapopan",2.03,0.37,6.98
"PRQUE DE LA PRIMAVERA #209 INT,  Fraccionamiento Parques de Tesistan, Zapopan",2.22,1.43,11.11
"Av. cruz del sur 4454,  La Calma, Zapopan",1.25,2.57,11.15
"Rubi 82,  Fraccionamiento Bugambilias, Zapopan",1.13,2.32,14.58
"Calle Valle de Talpa 20 Puerta Laurel,  Nuevo Mexico, Zapopan",1.85,1.18,6.15
"Prol. Rio Blanco #1676,  Fraccionamiento Los Almendros, Zapopan",2.52,1.71,4.22
"Colegio Militar 3207,  El Fortin, Zapopan",1.92,2.33,14.63
"perla 3067,  Fraccionamiento Residencial Victoria, Zapopan",1.63,2,9.67
"Tchaivkosky 1112,  Residencial Plaza Guadalupe, Zapopan",1.78,1.67,9.68
"Coral 2781,  12 de Diciembre, Zapopan",2.52,2.02,11.95
"FONTEE 98,  Fraccionamiento Solares, Zapopan",0.02,0.79,6.8
"Roberto cuellar 4315,  Ciudad de los ninos, Zapopan",0.39,1.42,8.29
"Juan Escutia 3239,  El Fortin, Zapopan",2.03,2.3,14.52
"valle de san isidro 145,  San Isidro, Zapopan",1.32,1.95,2.23
"andorra 298,  Fraccionamiento Campo Real, Zapopan",2.25,2.08,8.58
"PHQJ+C48 Zapopan, Jalisco, Mexico,  Santa Margarita , Zapopan",1.09,1.95,3.38
"Eje Central 5132,  Fraccionamiento Chapalita de Occidente, Zapopan",1.97,1.24,8.9
"Blvd. Bugambilias 2181,  Fraccionamiento Bugambilias, Zapopan",2.17,1.35,15.45
"RAMON CORONA 1500,  Valle Real, Zapopan",2.02,1.51,7.83
"Avenida de la Mancha 230,  Fraccionamiento La Cima, Zapopan",1.07,1.46,2.96
"Peten 5930,  Pinar de La Calma, Zapopan",1.05,0.88,12.45
"calle del bosque 1818,  Zapopan, Jalisco",2.22,2.37,9.45
"Calle Pipila 169,  La Martinica, Zapopan",0.25,1.94,3.05
"mirador del sol 156,  Ciudad Bugambilia, Zapopan",0.49,2.88,15.11
"Av Universidad 2662,  Fraccionamiento Puerta Las Lomas, Zapopan",2.36,2.52,5.64
"Avenida Pablo Neruda 4178,  Villa Universitaria, Zapopan",0.82,2.07,4.95
"A las Praderas #2422, entre Sabana y Llanura, Praderas del Centinela, Zapopan, Jalisco,  El Centinela, Zapopan",2.38,1.97,6.7
"VOLCAN MAUNALAO 2679,  Colli C.T.M., Zapopan",1.58,0.85,10.53
"Galeanas 791,  Los Girasoles, Zapopan",1.36,2.32,3.72
"paseo de la cantera 406,  Fraccionamiento Valle Imperial, Zapopan",0.51,0.38,6.8
"Luigi Pirandello 5541,  Vallarta Universidad, Zapopan",2.18,0.35,6.41
"Edgar Alan Poe 140,  Fraccionamiento Jardines Vallarta, Zapopan",2.52,1.94,6.4
"Calle 8 499,  Seattle, Zapopan",0.22,1.82,2.15
"Domenico Scarlatti 283,  Prados de Guadalupe, Zapopan",2.1,2.25,6.93
"Cubilete #22,  Chapalita Sur, Zapopan",1.06,2.34,8.23
"Labna 1467 jardines del sol zapopan jalisco,  Jardines Del Sol, Zapopan",1.77,0.38,9.31
"TEPEYAC 5150,  Condominio Chapalita las Fuentes, Zapopan",2.08,1.08,9.28
"Acanthia 177,  Fraccionamiento Solares, Zapopan",2.22,0.68,6.95
"Calle Fedor Dostoiewski 4922,  Jardines de La Patria, Zapopan",2.64,2.16,6.06
"P. de los Robles 4135,  San Wenceslao, Zapopan",1.45,1.21,4.17
"PJC8+7JH Zapopan, Jalisco, Mexico,  El Capullo, Zapopan",0.53,2.22,1.23
"PASEO SAN FELIPE 1089 1,  Residencial Valle Norte, Zapopan",1.9,2.79,4.23
"Avenida Paseo Royal Country 5395,  Royal Country, Zapopan",2.16,1.03,4.29
"Avenida Paseo del Norte 3350 93,  Conjunto Zapopan, Zapopan",2.13,0.72,10.27
"PEDRO VAZQUEZ DE CINSEROS 3597,  Colinas de Tesistan, Zapopan",0.12,2.42,6.05
"Alfonso Ramirez 1657, Paseos del Sol, Zapopan, Jal.,  Arboledas , Zapopan",1.4,1.39,11.04
"Paseo de la canada 32,  Santa Ana Tepetitlan, Zapopan",0.15,1.94,14.63
"C.RIO BLANCO #1590,  Fraccionamiento Parques de Tesistan, Zapopan",2.32,1.32,10.84
"Tafeta 844,  Las Agujas, Zapopan",2.47,2.56,12.58
"remanso del zorro 346,  Fraccionamiento Bugambilias, Zapopan",0.9,2.45,15.14
"Lomas del Camino 2126,  Lomas de Atemajac, Zapopan",0.97,2.11,3.24
"CARRETERA  A COLOTLAN #3257, ALHAMBRA RESIDENCIAL,  La Magdalena, Zapopan",2.84,0.16,11.25
"PERLA 3067,  Residencial La Estancia, Zapopan",1.07,2.49,8.05
"Luigi Pirandello #5541, Vallarta Universidad, Zapopan,  Vallarta Universidad, Zapopan",2.18,0.35,6.41
"Paseo San Arturo Oriente 920 Condominio Alamos Zapopan, Jalisco, Mexico,  Valle Real, Zapopan",2.63,0.62,5.55
"Av. Universidad 2662,,  Fraccionamiento Puerta Las Lomas, Zapopan",2.36,2.52,5.64
"Privada Bugambilias #1087,  La Florida, Zapopan",2.68,1.93,15.43
"Honorato Balzac #215,  Jardines de La Patria, Zapopan",2.58,2.08,6.19
"VOLCAN COTOPAXI  2280,  Paseos del Sol, Zapopan",1.09,1.18,10.76
"san mateo 1635,  Fraccionamiento Parques de Tesistan, Zapopan",2.23,1.41,11.27
"Bosques de los Colomos 21,  Las Canadas, Zapopan",2.31,2.26,2.89
"Calle Copilco 5984,  Pinar de La Calma, Zapopan",1.39,1.51,13.01
"circunvalacion norte 4350,  Las Fuentes, Zapopan",0.37,2.74,12.4
"Campo Real 339,  Lomas de Zapopan, Zapopan",0.5,1.1,1.85
"Av. Rio blanco sur 1511 - 218,  Fraccionamiento Parques de Tesistan, Zapopan",1.93,1.69,10.61
"Juan Escutia 3361,  El Fortin, Zapopan",2.13,2.4,14.56
"Hacienda Jurica 25  , Haciendas San Acasio , 45019 Zapopan, Jalisco, Mexico,  Fraccinamiento Mirador de San Isidro, Zapopan",0.74,2.79,9.2
"Av. Nueva Galicia #1540-138,  Nueva Galicia, Zapopan",1.33,1.67,17.88
"Calle Santo Tomas de Aquino 4048,  Lomas de Guadalupe, Zapopan",2.46,2.06,7.66
"Av. Economos 5980 , El Carmen Habitat,  Arcos de Guadalupe, Zapopan",0.83,2.54,9.2
"Rio Purificacion 1607,  Colinas de Las Aguilas, Zapopan",1.36,2.66,11.95
"Santa Maria 315,  Chapalita Sur, Zapopan",0.84,1.94,8.13
"C. de la Alegria 1481-1413, Villas Perisur, 45236 Zapopan, Jal., Mexico,  Fraccionamiento Villas Perisur, Zapopan",0.41,2.79,13.1
"Tulum 477,  Jardines Del Sol, Zapopan",3,0.57,9.12
"santa teresa 322 camino real zapopan,  Fraccionamiento Camino Real, Zapopan",2.89,1.5,6.81
"AV. DEL BOSQUE REAL 1230,  Fraccionamiento Valle Imperial, Zapopan",1.88,1.59,7.7
"paseo de los barcinos 33,  Fraccionamiento Pinar de La Venta, Zapopan",0.32,2.34,14.31
"CAM. REAL A ZAPOPAN #50 FRACIONAMIENTO MUNAH,  San Juan de Ocotan, Zapopan",1.22,0.61,7.8
"Circuito de las Flores Norte 2183,  Fraccionamiento Bugambilias, Zapopan",2.48,1.64,15.13
"Avenida Base Aerea no. 514,  Zapopan, Jalisco",1.8,1.23,6.25
"RINCONADA DEL CANTIL INT. 14,  Loma Real, Zapopan",0.55,2.43,5.36
"BILBAO 2522,  Santa Monica de los Chorritos, Zapopan",2.42,1.99,7.17
"Lazaro Cardenas 391,  Fraccionamiento Real de Tesistan, Zapopan",1.64,2.02,11.14
"Bugambilia  23, Mision la Floresta,  Zapopan, Jal.,  Mision La Floresta, Zapopan",1.76,1.72,14.04
"Paseo Reyna Isabel 50,  Colinas Del Rey, Zapopan",0.76,1.5,2.82
"Bosques de La Cascada 192,  Las Canadas, Zapopan",1.19,2.17,5.11
"Cumbres 307,  Virreyes Residencial, Zapopan",2.65,0.4,6.65
"av valle de san isidro 184,  Villas de Zapopan, Zapopan",1.39,1.95,2.1
"Callejon de no me olvides 106  , Bugambilias , 45238 Zapopan, Jalisco, Mexico,  Fraccionamiento Bugambilias, Zapopan",2.23,1.37,15.36
"Calle andador 4 numero -A,  El Tigre, Zapopan",0.74,2.71,1.27
"Talavera Poniente 3363,  Residencial Del Bosque, Zapopan",1.01,1.87,2.69
"CANELA 155, LOS MOLINOS, ZAPOPAN,  Fraccionamiento Los Molinos, Zapopan",1.86,1.55,12.13
"Cerezo de la Cayena 189,  El Fortin, Zapopan",2.15,2.13,14.21
"circunvalacion norte 0,  Las Fuentes, Zapopan",0.85,0.88,12.43
"SAN MARCELO  2230,  Santa Isabel, Zapopan",1.49,0.69,3.28
"HACIENDA DE LAS JACARANDAS 105,  Bosque Valdepenas, Zapopan",1.75,2.64,3.45
"PABLO NERUDA 3366,  Colinas de San Javier, Zapopan",1.86,2.35,3.89
"AV. DEL RENO PTE. INT. 3811,  Ciudad Bugambilia, Zapopan",1.46,1.38,16.04
"paseo de los pinabetes 1470,  Tabachines, Zapopan",0.26,1.68,3.11
"Boulevard Paseo Lomas del Bosque 4389 coto El Prado casa 15,  Lomas Del Bosque, Zapopan",0.76,0.73,2.64
"ACACIAS 312,  Los Robles, Zapopan",2.07,2.41,3.95
"Av ACUEDUCTO 1650,  Colinas de San Javier, Zapopan",1.75,2.56,4.03
"Privada del Torreon 1621,  Colinas de San Javier, Zapopan",1.85,1.66,3.99
"C. Jardines de los Alhelies 1259,  Jardines Del Vergel, Zapopan",0.62,1.49,2.61
"jardines del palacio real 1921,  Fraccionamiento Valle Imperial, Zapopan",2.74,2.43,7.63
"Paseo del parque 2055  , Bosques Vallarta , 45222 Zapopan, Jalisco, Mexico,  Bosques Vallarta, Zapopan",0.93,0.89,9.48
"Coto Egipcio 48,  Fraccionamiento Valle Imperial, Zapopan",0.76,2.82,8.43
"C Economos 5289,  Atlas Chapalita, Zapopan",1.74,1.45,9.28
"Avenida General Ramon Corona  13,  Fraccionamiento Los Olivos Residencial, Zapopan",1.9,1.59,8.03
"Carretera a Nogales -KM 15 ,  Fraccionamiento Campo Lago, Zapopan",0.56,2.24,9.4
"Av Moctezuma 000,  Jardines Del Sol, Zapopan",1.38,1.71,9.05
"Av. Moctezuma 331. Jardines del Sol, Zapopan,  Jardines Del Sol, Zapopan",0.83,0.92,9.25
"Av. Universidad 600,  Condominio Puerta Plata, Zapopan",2,0.84,4.16
"Leo 4137,  Juan Manuel Vallarta, Zapopan",1.31,1.01,5.89
"CIRCUITO DEL LINCE 2345,  Ciudad Bugambilia, Zapopan",1.14,2.18,14.8
"Moctezuma 380,  Jardines Del Sol, Zapopan",0.69,0.73,9.25
"Av paseo de los Robles ote 370,  Los Robles, Zapopan",0.39,1.44,3.48
"AV MAGNOLIAS #1312,  Jardines del Valle, Zapopan",1.79,2.53,4.02
"Irio 0,  Sendas Residencial, Zapopan",2.53,2.16,6.76
"Av. 18 de marzo 1960,  Las Aguilas, Zapopan",1.09,2.47,11.89
"Camino a Santa ana Tepetitlan 1500,  Santa Ana Tepetitlan, Zapopan",1.19,2.82,14
"Circuito Mexico Virreinal Sur 353,  Jardines de Nuevo Mexico, Zapopan",0.17,0.48,7.88
"Prolongacion guardia nacional 2274,  Santa Ana Tepetitlan, Zapopan",1.36,1.7,14.23
"Av. del Bosque Real 1507,  Nuevo Mexico, Zapopan",2.16,1.88,7.85
"marmol 2895,  Fraccionamiento Residencial Victoria, Zapopan",0.99,2.46,10.24
"PASEO SAN FELIPE 1089,  Rinconada Del Valle, Zapopan",2.21,0.27,5.07
"Avenida Federalistas 2153,  Fraccionamiento La Cima, Zapopan",1.72,2.24,3.72
"Calle 8 1720 10, Los Robles, Zapopan, Jalisco,  Los Robles, Zapopan",2.42,1.99,7.17
"Avenida Federalistas 1994,  Conjunto Zapopan, Zapopan",1.6,2.17,3.62
"paseo de la canada 167,  Lomas del Valle, Zapopan",1.54,0.84,5.27
"Camino a Santa Ana Tepetitlan (Boskia Residencial) 1606,  Santa Ana Tepetitlan, Zapopan",1.16,2.89,13.99
"rio verde 1098,  Las Aguilas, Zapopan",2.2,0.95,12.04
"Prado de los Tabachines 1114,  Prados Tepeyac, Zapopan",2.96,1.18,8.52
"PERLA 3858,  Residencial Loma Bonita, Zapopan",1.12,2.4,10.75
"Volcan Momotombo 1151-casa 2,  Paraisos Del Colli, Zapopan",2.83,1.22,10.41
"ingenieros sur 2300,  Prados Tepeyac, Zapopan",2.11,1.06,9.12
"BOULEVARD BUGAMBILIAS 2181,  Fraccionamiento Bugambilias, Zapopan",2.17,1.35,15.45
"Morelos #695, Gonzalez Ortega, Zapopan,  Gonzalez Ortega, Zapopan",1,0.79,4.02
"paseo del parque  2055,  Bosques Vallarta, Zapopan",0.77,0.91,9.32
"San Roberto No. 10,  Fraccionamiento Lomas de San Gonzalo, Zapopan",1.42,1.05,6.92
"AVENIDA UNIVERSIDAD 2662 INT. F8,  Virreyes Residencial, Zapopan",2.08,2.38,5.6
"Av. San Arturo 460,  Valle Real, Zapopan",0.22,1.25,6.14
"Chulavista 6986,  Ciudad Granja, Zapopan",1.39,2.08,9.06
"Bugambilia 243 26,  Mision La Floresta, Zapopan",1.78,1.71,14.02
"Claudio Ptolomeo 5796,  Paseos del Sol, Zapopan",0.48,2.38,12.03
"AV. PASEO DEL JARDIN INT. 50,  Atlas Colomos, Zapopan",0.77,1.23,2.15
"Ricardo Guirales 5420 Vallarta Universidad,  Vallarta Universidad, Zapopan",2.5,2.81,6.09
"Av Novelistas 5137,  Fraccionamiento Jardines Vallarta, Zapopan",2.04,2.54,6.65
"Coliman  290,  Ciudad Del Sol, Zapopan",0.62,1.41,8.54
"PRIV INGLATERRA 4800,  Jardines de La Patria, Zapopan",2.66,1.85,6.26
"e10,  Fraccionamiento Diana Nature Residencial, Zapopan",1.25,2.19,13.43
"Casa en Lago Camecuaro 520  , Lagos del Country , 45177 Zapopan, Jalisco, Mexico,  Lagos del Country, Zapopan",0.17,1.58,2.4
"Calle Parque la Primavera 209 int 253,  Fraccionamiento Parques de Tesistan, Zapopan",2.22,1.43,11.11
"callejon del armadillo  122,  Fraccionamiento Bugambilias, Zapopan",1.85,0.85,15.97
"CANCUN 5980,  Pinar de La Calma, Zapopan",1.14,1.1,12.67
"San Luis Gonzaga 5148,  Fraccionamiento Jardines de Guadalupe, Zapopan",1.52,1.86,8.39
"Campo Real Norte 1208,  Fraccionamiento Campo Real, Zapopan",2.57,2.22,8.88
"Circuito de las Flores Norte 2314,  Fraccionamiento Bugambilias, Zapopan",2.52,1.76,15.23
"45134 Zapopan, Jal.,  Fraccionamiento Valle Imperial, Zapopan",1.85,1.51,7.26
"Paseo del norte 6622.  Jardines Vallarta Coto,  Fraccionamiento Jardines Vallarta, Zapopan",2.67,0.25,10.94
"Avenida Madeiras 242,  Madeiras, Zapopan",2.68,2.31,6.33
"Valle Real 50,  Valle Real, Zapopan",0,1.13,6.16
"Calle Palmira 1236 33,  Fraccionamiento Valle Imperial, Zapopan",1.84,1.6,8.04
"Calle 2A (Tramo 4) 1134,  Las Bovedas, Zapopan",1.23,2.96,3.64
"Calle 8 12, Fraccionamiento Los Robles Campestre, Zapopan, Jalisco,  Los Robles, Zapopan",1.63,2.19,2.26
"Paseos del Parque 2055  , Bosques Vallarta , 45222 Zapopan, Jalisco, Mexico,  Bosques Vallarta, Zapopan",0.77,0.91,9.32
"PASEO SOLARES 1632 CASA 177,  San Juan de Ocotan, Zapopan",1.94,1.77,8.45
"paseo de la cantera 406,  Nuevo Mexico, Zapopan",0.51,0.38,6.8
"aurora 480,  Chapalita Oriente, Zapopan",0.58,2.1,7.79
"axayatl 147,  Atemajac Del Valle, Zapopan",1.64,0.49,4.07
"Avenida General Ramon Corona 1500,  La Moraleja, Zapopan",2.02,1.51,7.83
"Calle Alondra 1396 El Fortin,  El Fortin, Zapopan",2.47,2.52,14.34
"Jaime Nuno 4401,  Campestre los Pinos, Zapopan",1.2,1.96,14.72
"paseo solares 1632,  Fraccionamiento Solares, Zapopan",1.94,1.77,8.45
"Lomas del infante 2153,  Lomas de Atemajac, Zapopan",0.84,2.09,3.1
"Coto Maple 1,  Nuevo Mexico, Zapopan",2.66,0.66,5.72
"CAFETOS 338,  Tuzania, Zapopan",0.41,2.84,2.54
"Boulevard Valle Imperial 3743 79,  Fraccionamiento Valle Imperial, Zapopan",0.88,0.5,7.32
"Paseo San Pablo 241,  Valle Real, Zapopan",2.29,0.28,5.17
"Paseo del Anochecer #993,  Fraccionamiento Solares, Zapopan",1.66,1.97,8.67
"tezozomoc 356,  Jardines Del Sol, Zapopan",0.46,0.91,8.97
"Gabriel Mariscal  5,  Fraccionamiento La Castilla, Zapopan",1.5,2.4,9.88
"Calle Francisco Jimenez 2663,  El Fortin, Zapopan",2.09,2.17,14.31
"Casa EN Venta Jardines DE Guadalupe 442 Zapopan Jalisco,  Fraccionamiento Jardines de Guadalupe, Zapopan",0.74,1.18,10.58
"AV PASEO AMALFI #3600,  Natura Bosque Residencial, Zapopan",1.09,0.81,15.73
"Av. Guadalupe 4021,  Ciudad de los ninos, Zapopan",0.72,2.1,7.65
"AV VALDEPENAS # 8469,  Fraccionamiento Real de Valdepenas, Zapopan",1,1.88,2.97
"Tauro 4205,  Juan Manuel Vallarta, Zapopan",1.18,1.27,6.08
"Avenida Paseo La Toscana 888 2283,  Valle Real, Zapopan",1.82,2.93,4.69
"C. JAIME NUNO 4401, CAMPESTRE LOS PINOS, ZAPOPAN,  Campestre los Pinos, Zapopan",1.2,1.96,14.72
"Unidad Nacional 1650,  Conjunto habitacional Patria, Zapopan",0.54,1.51,2.05
"Paseo de los Almendros 2650,  Tabachines, Zapopan",0.86,1.71,2.24
"Paseo del Valle 600 int. 4-A. Colinas de San Javier. Guadalajara Jalisco.,  Colinas de San Javier, Zapopan",1.85,1.66,3.99
"paseo de la tierra 2085,  La Magdalena, Zapopan",2.72,1.06,11.91
"Lagos de Moreno 2994,  Hogares de Nuevo Mexico, Zapopan",0.14,1.79,5.34
"FRANZ SHUBERT 5340,  La Estancia, Zapopan",1.07,2.32,8.26
"Avenida Guadalupe 6601,  Chapalita Inn, Zapopan",1.37,2.7,9.87
"Paseo de Los Avellanos 3244,  Tabachines, Zapopan",0.45,1.69,3.01
"Av. Paseo de la Cantera 406  , Nuevo Mexico , 45138 Zapopan, Jalisco, Mexico,  Nuevo Mexico, Zapopan",0.51,0.38,6.8
"Las Aguilas al 500,  Las Aguilas, Zapopan",1.35,2.56,11.8
"Viveros del Valle al 2300,  Fraccionamiento Viveros del Valle, Zapopan",0.16,0.31,5.28
"Andromeda 3767,  La Calma, Zapopan",0.44,1.34,10.91
"Volcan Maunaloa 2789,  El Colli Urbano, Zapopan",1.62,0.93,10.61
"P.o San Arturo Ote. 469, Valle Real,  Valle Real, Zapopan",2.89,1.46,5.81
"Paseo del Valle 3430,  Bosques Vallarta, Zapopan",2.68,0.25,10.94
"Callejon del Mirador 4168,  Villa Universitaria, Zapopan",0.94,1.65,4.69
"1874 SAN HIPOLITO,  La Moraleja, Zapopan",2.42,1.99,7.17
"Pintores 77,  Nuevo Vergel, Zapopan",1.08,1.82,3.89
"Calle Hidalgo 2a,  San Francisco, Zapopan",1.22,2.6,1.05
"Avenida Paseo del Anochecer 1207,  Zapopan, Jalisco",1.5,2.04,8.64
"Tula 1507,  Pinar de La Calma, Zapopan",2.01,1.39,12.6
"Rio Echegaray Albaterraal 7600,  Fraccionamiento Albaterra, Zapopan",0.16,0.18,14.91
"Rio Cuitzmala 5589,  Las Aguilas, Zapopan",1.17,2.6,12.03
"Avenida Altavista 9855,  Altavista Residencial, Zapopan",2.35,1.53,4.34
"647 Campo duque,  Fraccionamiento Campo Real, Zapopan",2.47,2.32,8.79
"720 Av. El Campestre coto Mascardi,  Zapopan, Jalisco",2.49,0.27,16.28
"28 ARGENTA RESIDENCIAL,  Zapopan, Jalisco",2.64,1.84,4.38
"Torre Alba 1098,  Lomas de Zapopan, Zapopan",0.61,1.02,2.48
"Avenida Paseo del Anochecer 964,  Fraccionamiento Solares, Zapopan",1.73,1.88,8.58
"San Alfredo 55,  Altamira, Zapopan",1,1.74,2.3
"Campo Duque 581, Fracc. Campo Real Zapopan,  Fraccionamiento Campo Real, Zapopan",2.38,2.21,8.71
"2400 prolongacion guardia nacional,  Zapopan, Jalisco",1.37,1.71,14.23
"Prolongacion Atotonilco 1636,  Nuevo Mexico, Zapopan",1.96,1.56,5.99
"Vicente Guerrero 182,  Atemajac Del Valle, Zapopan",1.1,2.39,3.24
"Valle de Bravo 70,  Fraccionamiento Villas Del Valle, Zapopan",1.53,1.39,8.41
"Av. Madeiras 182,  Zapopan, Jalisco",2.58,2.21,6.25
"Beatriz Hernandez 1190,  Zoquipan, Zapopan",0.37,1.93,2.63
"Paseo del alva 1192,  Nuevo Mexico, Zapopan",0.5,0.46,7.64
"Paseo de La Familia 67 Paseis del Briseno,  Paseos Del Briceno, Zapopan",0.76,2.65,13.83
"92 pardo,  Fraccionamiento Valle Imperial, Zapopan",1.85,1.51,7.26
"la Higuera Zapopan al 100,  La Higuera, Zapopan",0.44,1.48,6.14
"7302 privada lorenzo barcelata,  Los Pinos Campestre, Zapopan",2.79,1.92,14.79
"222 AV. PASEO DE LA CASTILLA,  Fraccionamiento Residencial San Isidro, Zapopan",1.89,2.64,2.96
"6170 Base Area,  Fraccionamiento Jardin Real, Zapopan",1.58,1.56,8.1
"2055 Av paseo del parque,  Zapopan, Jalisco",0.77,0.91,9.32
"Calle Mojarra 3917,  Loma Bonita, Zapopan",1.28,2.22,10.66
"Calle Esmeralda 2940,  Residencial Del Bosque, Zapopan",0.89,2.58,10.24
"Juan B. Bandeja al 4300,  Rancho Nuevo de Tesistan, Zapopan",2.42,1.99,7.17
"Avenida Paseo de las Aves 2442-interior 141,  El Centinela, Zapopan",2.36,0.58,3.51
"Calle Volcan Cofre de Perote 117,  Colli C.T.M., Zapopan",2.68,1.65,10.57
"Camino de los Parques 3880,  Las Canadas, Zapopan",1.54,1.97,4.94
"2055 Paseo del parque,  Zapopan, Jalisco",0.77,0.91,9.32
"8.5 Carr a Colotlan,  Fraccionamiento Mirador del Bosque, Zapopan",0.16,0.9,15.05
"Camino de los Parques 3880, Colinas de San Isidro, Zapopan, Jalisco,  Las Canadas, Zapopan",1.54,1.97,4.94
"314 Av Paseo de los Robles Norte,  Zapopan, Jalisco",0.79,1.92,16.75
"Camino Arenero 1052,  El Bajio, Zapopan",1.75,2.29,8.77
"Calle Zafiro 2,  Ciudad Granja, Zapopan",2.48,2.43,14.31
"Calle Azaleas 573 int 113 Ciudad Bugambilias Zapopan,  Fraccionamiento Bugambilias, Zapopan",1.01,2.44,3.83
"23 SAN FRANCISCO,  Zapopan, Jalisco",1.02,1.74,2.27
"Cocoteros no. 18,  Fraccionamiento Residencial Santa Fe, Zapopan",2.42,1.99,7.17
"575 AV D,  Fraccionamiento Valle Imperial, Zapopan",1.29,0.93,7.29
"Via Belissimo 43 Coto Florencia,  Fraccionamiento Jardines de Las Fuentes, Zapopan",2.42,1.99,7.17
"Av. Paseo de la Cantera 702,  Nuevo Mexico, Zapopan",0.14,0.06,6.92
"PASEO DE LOS LAGOS #61,  Las Canadas, Zapopan",2.2,1.46,6.16
"VOLCAN AJUSTO 1497,  El Colli Urbano, Zapopan",1.62,0.73,10.4
"Av. Pase San Arturo Ote 413 condominio ciruelos casa 3,  Zapopan, Jalisco",2.91,1.43,5.83
"San Roman al 1300,  Fraccionamiento Jardines de San Ignacio, Zapopan",0.36,1.44,7.14
"125 Prolongacion guardia nacional,  El Fortin, Zapopan",1.02,1.4,14.06
"2111 SAN MARCELO,  San Bernardo, Zapopan",2.16,0.61,3.49
"Paseo de las estrellas 633,  Fraccionamiento Solares, Zapopan",2.43,2.86,4.4
