direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"avenida paseo de la arboleda 737, jardines del bosque,  Jardines del Bosque Norte, Guadalajara",1.83,2.13,4.3
"av. republica 418 b, san juan de dios,  Barrio San Juan de Dios, Guadalajara",0.75,0.98,2.08
"Avenida Espana 1876 colonia Moderna,  Moderna, Guadalajara",1.84,2.74,2.94
"Oceania 2182,  Magana, Guadalajara",1.39,0.32,5.59
"Martin Casillas  No. 325,  Ladron de Guevara, Guadalajara",0.51,2.22,3.16
"PUERTO DE TODOS LOS SANTOS 0000,  Monumental, Guadalajara",0.93,1.14,3.36
"BILBAO 2522,  Fraccionamiento Santa Monica, Guadalajara",1.31,0.44,2.63
"ERING 1741,  Fraccionamiento Chapultepec Country, Guadalajara",1.62,1.54,1.87
"Puerto Pichilingue 843,  Circunvalacion Belisario, Guadalajara",0.65,1.65,3.76
"Calle Isla Pomona 3451,  Jardines Del Sur, Guadalajara",0.23,2.49,7.39
"Jesus Garcia 2577,  Lomas de Guevara, Guadalajara",0.31,1.46,3.23
"Santa Monica 383,  Guadalajara Centro, Guadalajara",1.02,1.13,0.49
"Calle Fray Luis de Palacio 275,  Ladron de Guevara, Guadalajara",0.62,2.29,3.05
"Av. Lopez Mateos #679, Lomas de Guevara, Guadalajara,  Lomas de Guevara, Guadalajara",0.1,1.68,3.01
"0tranto 3068,  Providencia 4a Secc, Guadalajara",1.19,1.45,4.02
"J domingo Sarmiento 2736,  Providencia Sur, Guadalajara",0.45,1.95,3.54
"Calle Isla Maria Cleofas 2389,  Bosques de La Victoria, Guadalajara",1.01,1.16,6.42
"MERCADERES 00 JARDINES DEL COUNTRY GUADALAJARA JALISCO,  Fraccionamiento Jardines del Country, Guadalajara",1.19,1.52,2.75
"Brillantes 923,  Alcalde Barranquitas, Guadalajara",1.25,1.84,1.28
"Mil cumbres 167,  Independencia, Guadalajara",1.59,2.2,1.72
"PANFILO NATERA 4401,  Lomas del Paraiso, Guadalajara",1.59,1.15,5.05
"Tula 566,  Monumental, Guadalajara",0.1,1.47,3.48
"Gonzalo Curiel 443,  Alcalde Barranquitas, Guadalajara",1.37,1.95,1.25
"Mallorca  14,  Fraccionamiento Lomas Del Country, Guadalajara",2.27,1.3,2.11
"calle belen 474,  Barranquitas, Guadalajara",1.23,1.67,0.58
"12 DE DICIEMBRE,  Fraccionamiento Jardines de Plaza Del Sol, Guadalajara",1.3,2.7,5.72
"Alfredo R. Plascencia 20,  Lafayette, Guadalajara",1.35,2.71,2.4
"Av Americas 638,  Ladron de Guevara, Guadalajara",0.79,1.59,2.33
"Manuel Acuna 2704,  Fraccionamiento Ladron de Guevara, Guadalajara",0.4,1.99,3.47
"PUERTO DE TODOS LOS SANTOS 00 MONUMENTAL GUADALAJARA JALISCO,  Monumental, Guadalajara",0.93,1.14,3.36
"Calle : Gigantes #1542,  San Antonio, Guadalajara",1.04,0.54,4.56
"Rinconada del Agua No. 2652,  Rinconada de La Arboleda, Guadalajara",1.82,1.95,5.6
"Reloj 2021,  Fraccionamiento Jardines Del Country, Guadalajara",1.29,1.92,2.81
"C. Justo Sierra 2925,  Fraccionamiento Vallarta Norte, Guadalajara",1.38,1.01,4.19
"Calle Jose Martinez Sotomayor 896,  Jardines de los Poetas, Guadalajara",0.74,1.11,8.33
"MELODIA 2311,  Guadalajara Oriente, Guadalajara",2.44,1.44,5.9
"Josefa Ortiz de Dominguez 3416,  Lagos de Oriente, Guadalajara",1.23,1.97,7.08
"Calle Libertad No. 1377, Colonia Americana, Guadalajara, Jalisco,  Americana, Guadalajara",2.02,1.6,1.82
"Manuel Gutierrez Najera 3416,  Beatriz HernAndez, Guadalajara",0.96,1.22,6.77
"C. Jesus Galindo y Villa 3237,  Jardines de La Paz, Guadalajara",0.42,2.04,7.56
"Avenida Vallarta #1908,  Americana, Guadalajara",1.45,2.58,2.86
"AV. LA PAZ  2332 INT. 7,  Americana, Guadalajara",1.66,2.59,3.04
"maria mares 1003,  Fraccionamiento Parques Del Nilo, Guadalajara",0.56,1.4,8.04
"Av. de los Maestros 345,  Alcalde Barranquitas, Guadalajara",1.53,2.12,1.48
"Avenida Aztecas 910,  Prados de Providencia, Guadalajara",1.6,2.33,4.67
"olmecas 807  Monraz , 44670 Guadalajara, Jalisco, Mexico,  Monraz, Guadalajara",1.7,2.8,4.78
"Avenida Belisario Dominguez 586,  La Perla, Guadalajara",1.28,1.64,2.5
"Calle Dr. Juan Salazar 693,  Obrera, Guadalajara",2.37,2.01,3.6
"oaquin Aguirre Berlanga #591,  Colinas de La Normal, Guadalajara",2.33,2.9,1.89
"Calle Cenobio Paniagua 1,  San Andres, Guadalajara",1.22,2.78,6.68
"monte alpeninos 1319 col independencia guadalajara,  Independencia, Guadalajara",1.82,2.43,2.24
"Hacienda Santa Rita 415,  Oblatos, Guadalajara",1.91,1.57,7.29
"CALLE LITORAL 00 BOSQUES DE LA VICTORIA  GUADALAJARA JALISCO,  Bosques de La Victoria, Guadalajara",1.36,2.95,6.29
"Santa Monica  392,  Guadalajara Centro, Guadalajara",1,1.13,0.49
"Joaquin Angulo 216,  Barrio El Retiro, Guadalajara",0.31,0.81,1.06
"Cerrito 2015,  Chapalita, Guadalajara",0.78,2,5.56
"Mazamitla 2991,  Vallarta Poniente, Guadalajara",1.81,1.19,4.38
