direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"624 Calzada del Ejercito,  San Pedro Tlaquepaque, Jalisco",2.11,1.67,3.4
"155 Prol. Colon,  San Pedro Tlaquepaque, Jalisco",2.15,2.19,13.96
"Calle Plan Sexenal 3234,  Fraccionamiento Revolucion, San Pedro Tlaquepaque",1.96,2.76,2.15
"Av. Manuel Lopez Cotilla 1201, Tlaquepaque, Pedregal del Bosque, 45610 San Pedro Tlaquepaque, Jal.,  San Pedro Tlaquepaque, Jalisco",1.44,0.56,8.09
"Real de Los Naranjos 922,  Tlaquepaque, San Pedro Tlaquepaque",1.82,1.7,2.77
"Bahia de la Concepcion 1039,  Fraccionamiento Parques de Santa Maria, San Pedro Tlaquepaque",2.4,2.13,11.93
"Casa en Venta Zona 8 Julio y Periferico,  San Pedro Tlaquepaque, Jalisco",2.49,2.29,9.38
"Farallon 5384,  Cerro Del Tesoro, San Pedro Tlaquepaque",1.91,1.93,9.75
"Arroyo Seco al 44800,  Arroyo Seco, San Pedro Tlaquepaque",2.5,1.95,11.34
"Av. dos Ejidos 118, Centro, 45602 Santa Anita, Jal.,  Colinas de Santa Anita, San Pedro Tlaquepaque",2.39,2.7,14.51
"Av. Del pino Privada 3  ext 412 -11 Col. Haciendas de San Jose  Tlaquepaque Jalisco,  Fraccionamiento Haciendas de San Jose, San Pedro Tlaquepaque",2.72,1.44,10.69
"Av. San Blas 2604,  Fraccionamiento Parques Santa Cruz Del Valle, San Pedro Tlaquepaque",0.5,2.36,8.91
"Prolongacion de los Artesanos 991, Tlaquepaque, 45610 San Pedro Tlaquepaque, Jal. al 900,  San Pedro Tlaquepaque, Jalisco",1.47,0.48,8.02
"Vidrio Soplado al 100,  Parque Tlaquepaque, San Pedro Tlaquepaque",1.4,0.69,3.25
