direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"MORELOS 154,  El Paraiso, Tlajomulco de Zuniga",2.34,1.23,7.14
"Valle de San Valerio 1462 coto San Eulogio 12,  Fraccionamiento Real Del Valle, Tlajomulco de Zuniga",0.08,1.46,11.19
"Av Arbolada no 410,  Bosques de Santa Anita, Tlajomulco de Zuniga",0.58,1.24,10.27
"Paseo del Palomar 100,  El Palomar, Tlajomulco de Zuniga",1.11,0.45,13.12
"Alameda de La Sagra 1540,  Fraccionamiento Nueva Galicia Residencial, Tlajomulco de Zuniga",1.34,1.65,11.4
"Av de la Romana 222,  Fraccionamiento La Romana, Tlajomulco de Zuniga",0.26,0.01,0.15
"Circuito del pilar 462,  Fraccionamiento Del Pilar Residencial, Tlajomulco de Zuniga",2.77,1.24,9.31
"Paseo del Manantial 182,  Fraccionamiento El Manantial, Tlajomulco de Zuniga",2.01,1.63,10.76
"Av bosques de Santa Anita 2301,  Bosques de Santa Anita, Tlajomulco de Zuniga",0.49,0.09,11.83
"LA GUARNICION 203,  Casa Fuerte, Tlajomulco de Zuniga",1.06,1.4,7.8
"1 Mayo OTE 301,  Santa Cruz del Valle, Tlajomulco de Zuniga",0.23,0.51,14.33
"Av. Lopez Mateos Sur 1450,  El Palomar, Tlajomulco de Zuniga",0.69,0.21,12.64
"Murillo 488,  Santa Anita, Tlajomulco de Zuniga",2.62,1.78,9.39
"Av. Adamar 929 int 5,  Adamar, Tlajomulco de Zuniga",1.77,0.63,7.05
"Bolonia 3,  San Agustin, Tlajomulco de Zuniga",2.93,2.92,6.59
"C. Juarez 17A,  Fraccionamiento Club de Golf Santa Anita, Tlajomulco de Zuniga",2.89,1.31,10.5
"Camino a las Moras 601,  Bosques de Santa Anita, Tlajomulco de Zuniga",2.89,1.53,10.05
"Paseo de la Lira 211,  Pontevedra, Tlajomulco de Zuniga",2.24,2.42,10.22
"Av. Adamar 872,  Adamar, Tlajomulco de Zuniga",1.81,0.58,7.01
"Camino a San Isidro 1003,  Rinconada de Los Nogales , Tlajomulco de Zuniga",0.26,0.01,0.15
"Av. Arbolada 410 Int D74,  Arboleda Bosques de Santa Anita, Tlajomulco de Zuniga",0.31,2.91,11.59
"Calle Real de Santa Anita n 8,  Bosque Real de Santa Anita, Tlajomulco de Zuniga",2.28,1.2,6.16
"Prolongacion 5 de mayo, La Rua,  San Agustin, Tlajomulco de Zuniga",1.5,1.56,7.72
"Ollauri 481,  La Rioja, Tlajomulco de Zuniga",1.92,1.81,10.95
"Av. Casa Fuerte 66,  Casa Fuerte, Tlajomulco de Zuniga",1.22,1.19,7.61
"Madera int 17,  Alta California Residencial, Tlajomulco de Zuniga",2.55,2.99,5.97
"Ximar 101,  Santa Anita, Tlajomulco de Zuniga",0.23,0.55,11.7
"Av. Adamar 548, Coto Alameda int 71,  Adamar, Tlajomulco de Zuniga",2.04,0.47,6.8
"Av. Elementia 90,  Element, Tlajomulco de Zuniga",1.79,2.14,7.11
"Paseo de Santa Anita 460,  Fraccionamiento Club de Golf Santa Anita, Tlajomulco de Zuniga",0.52,1.55,10.5
"Camino del Portugues 424,  San Martin Del Tajo, Tlajomulco de Zuniga",0.8,1.57,11.79
"Adolfo Lopez Mateos Sur 1201, Coto 5, Dominicos Casa 24, Villa California, Santa Anita,  Santa Anita, Tlajomulco de Zuniga",1.56,1.41,7.57
"Lopez Mateos sur interior 191,  Residencial Provenza, Tlajomulco de Zuniga",2.16,1.28,10.23
"Av. Casa Fuerte 151,  Casa Fuerte, Tlajomulco de Zuniga",2.2,1.32,7.05
"Av Adamar 1205,  Adamar, Tlajomulco de Zuniga",1.55,0.88,7.29
"Enrique Limon Diaz 404,  San Agustin, Tlajomulco de Zuniga",2.84,0.92,9.25
"Adolfo Lopez Mateos Sur 1201, Coto 5, Dominicos Casa 24, Villa California, Santa Anita,  Fraccionamiento Villa California, Tlajomulco de Zuniga",1.56,1.41,7.57
"Avenida Vuelo de las Grullas 215,  San Agustin, Tlajomulco de Zuniga",2.41,1.34,9.16
"Privada Primero de Mayo N1 22,  Santa Cruz del Valle, Tlajomulco de Zuniga",0.12,2.83,12.64
"Pronveza Sur 100,  Santa Anita, Tlajomulco de Zuniga",0.23,2.33,8.38
"Rinconada de la montana 98,  Cielo Contry Club, Tlajomulco de Zuniga",0.25,0.01,0.14
"Puerta de piedra 85,  San Agustin, Tlajomulco de Zuniga",1.6,1.28,7.46
"Paseo de la Coruna Norte 1501-103 Fraccionamiento Nueva Galicia,  Fraccionamiento Nueva Galicia Residencial, Tlajomulco de Zuniga",0.46,1.26,11.58
