url,titulo,precio,direccion,m2_lote,m2_construccion,banos,medio_banos,estacionamientos,recamaras,antiguedad
https://www.vivanuncios.com.mx/a-venta-casa/chapalita/casa-en-venta-ubicada-en-colonia-chapalita/146190269,Casa en Venta Ubicada en Colonia Chapalita,"ventaMN 11,700,000","Lázaro Cárdenas ,  Chapalita, Guadalajara",325²,321²,2,1,3,4,40
https://www.vivanuncios.com.mx/a-venta-casa/unidad-habitacional-plutarco-elias-calles/casa-en-venta-en-col-plutarco-elias-calles/146588993,Casa en Venta en Col. Plutarco Elías Calles,"ventaMN 2,200,000","Hda. La Candelaria 2284,  Unidad habitacional Plutarco Elias Calles , Guadalajara",64²,119²,1,1,1,2,
https://www.vivanuncios.com.mx/a-venta-casa/mezquitan-country/casa-de-4-niveles-en-mezquitan-country/146902556,Casa de 4 Niveles en Mezquitan Country,"ventaMN 7,950,000","calle frías,  Mezquitan Country, Guadalajara",99²,340²,3,3,6,3,3
https://www.vivanuncios.com.mx/a-venta-casa/1-de-mayo/casa-en-venta-colon-industrial-guadalajara-jalisco/146868241,"Casa en Venta Colón Industrial, Guadalajara, Jalisco","ventaMN 4,490,000","Fernando de Magallanes,  1 de Mayo, Guadalajara",115²,233²,2,2,1,4,42
https://www.vivanuncios.com.mx/a-venta-casa/bosques-de-la-victoria/hermosa-casa-en-venta-en-bosques-de-la-victoria/146678864,Hermosa Casa en Venta en Bosques de La Victoria,"ventaMN 8,350,000","isla cleofas 2385,  Bosques de La Victoria, Guadalajara",202²,272²,7,1,2,6,35
https://www.vivanuncios.com.mx/a-venta-casa/moderna/colonia-moderna-casa-en-venta/146743545,Colonia Moderna Casa en Venta,"ventaMN 20,000,000","libertad ,  Moderna, Guadalajara",695²,575²,5,2,10,12,30
https://www.vivanuncios.com.mx/a-venta-casa/colinas-de-la-normal/casa-en-venta-en-colinas-de-la-normal/144002103,Casa en Venta en Colinas de La Normal,"ventaMN 8,200,000","paseo de los artistas,  Colinas de La Normal, Guadalajara",275²,377²,3,2,6,5,1
https://www.vivanuncios.com.mx/a-venta-casa/jardines-del-bosque/casas-en-preventa-en-jardines-del-bosque-guadalajara/144347785,Casas en Preventa en Jardines del Bosque Guadalajara,"ventaMN 8,597,100","CALLE LA LUNA 2863,  Jardines del Bosque, Guadalajara",205²,205²,2,1,2,3,
https://www.vivanuncios.com.mx/a-venta-casa/hermosa-provincia/casa-en-venta-en-hermosa-provincia-guadalajara/146711496,"Casa en Venta en Hermosa Provincia, Guadalajara","ventaMN 3,300,000","José Guadalupe Aguilera ,  Hermosa Provincia, Guadalajara",120²,187²,1,,1,5,30
https://www.vivanuncios.com.mx/a-venta-casa/circunvalacion-belisario/casa-en-venta-remodelada-por-la-monumental-guadalajara/147040395,"Casa en Venta Remodelada por La Monumental, Guadalajara.","ventaMN 3,080,000","puerto soto la marina 1784,  Circunvalación Belisario, Guadalajara",75²,110²,2,1,1,2,
