url,titulo,precio,direccion,m2_lote,m2_construccion,banos,medio_banos,estacionamientos,recamaras,antiguedad
https://www.vivanuncios.com.mx/a-venta-casa/bosques-de-tonala/casa-en-andador-sauz-79-bosques-de-tonala-jalisco-ah/147019892,"Casa en Andador Sauz 79, Bosques de Tonala, Jalisco. (Ah)","ventaMN 3,565,000","Sauz 79,  Bosques de Tonala, Tonalá",120²,227²,2,,1,4,20
https://www.vivanuncios.com.mx/a-venta-casa/pinar-de-las-palomas/casa-en-venta-en-pinar-de-las-palomas-tonala/146011157,"Casa en Venta en Pinar de Las Palomas, Tonalá","ventaMN 1,700,000","Cuervo,  Pinar de las Palomas , Tonalá",150²,150²,2,1,3,3,15
https://www.vivanuncios.com.mx/a-venta-casa/coyula/casa-en-venta-coyula-fraccionamiento-paseos-de-santiago-tonala-jalisco/147074703,Casa en Venta Coyula Fraccionamiento Paseos de Santiago Tonala Jalisco,"ventaMN 698,400","Río Papaloapan 1523,  Coyula, Tonalá",118²,78²,2,,1,3,25
https://www.vivanuncios.com.mx/a-venta-casa/jalisco/casa-de-oportunidad-en-san-esteban-1669-la-huerta-guadalajara-jalisco/147006449,"Casa de Oportunidad en San Esteban 1669, La Huerta, Guadalajara, Jalisco","ventaMN 870,554","La Huerta 1669,  Jalisco, Tonalá",101²,42²,1,,,2,10
https://www.vivanuncios.com.mx/a-venta-casa/rancho-o-rancheria-san-francisco-de-la-soledad/casa-en-venta-en-club-nautico-puente-viejo-jalisco/146462646,"Casa en Venta, en Club Nautico Puente Viejo, Jalisco.","ventaMN 12,000,000","camino del seminario 32,  Rancho o rancheria San Francisco de La Soledad, Tonalá",1750²,450²,4,1,15,4,6
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-urbi-quinta-montecarlo/vendo-casa-en-urbi-quinta-montecarlo-tonala-cerca-plaza-fuente-san-gaspar/144913404,"Vendo Casa en Urbi Quinta Montecarlo, Tonala Cerca Plaza Fuente San Gaspar","ventaMN 579,304","ORIO, URBI QUINTA MONTECARLO, TONALA,  Fraccionamiento Urbi Quinta Montecarlo, Tonalá",120²,100²,2,,1,3,15
https://www.vivanuncios.com.mx/a-venta-casa/jalisco/casa-en-venta-en-colonia-jalisco-i-antes-periferico-tonala/145858564,"Casa en Venta en Colonia Jalisco I, Antes Periferico, Tonalá","ventaMN 1,300,000","totatiche 3,  Jalisco, Tonalá",112²,78²,1,,,2,35
https://www.vivanuncios.com.mx/a-venta-casa/basilio-badillo/casa-en-venta-en-colonia-basilio-badillo/145757574,Casa en Venta en Colonia Basilio Badillo,"ventaMN 1,600,000","Antonio caso 405,  Basilio Badillo, Tonalá",103²,160²,2,1,2,3,22
https://www.vivanuncios.com.mx/a-venta-casa/villas-de-oriente/casa-en-venta-en-villas-de-oriente/145624403,Casa en Venta en Villas de Oriente,"ventaMN 4,200,000","-,  Villas de Oriente, Tonalá",96²,96²,2,1,2,3,
https://www.vivanuncios.com.mx/a-venta-casa/paseo-puente-viejo/casa-en-venta-rio-papaloapan-1523-urbi-quinta-tonala-jal-recuperacion-bancaria/146951509,Casa en Venta Río Papaloapan 1523 Urbi Quinta Tonalá Jal. Recuperacion Bancaria,"ventaMN 698,400","Calle Río Papaloapan 1523,  Paseo Puente Viejo, Tonalá",78²,108²,2,,1,3,20
